Company,Ticker,Date,Call
Celgene ,CELG,30/11/2016,Buy
Carrier Global ,CARR,22/2/2022,Buy
JPMorgan Chase ,JPM,20/4/2016,Positive Mention
DuPont ,DD,30/4/2021,Buy
DuPont ,DD,4/8/2021,Buy
US Bancorp ,USB,20/4/2022,Negative Mention
Enterprise Products Partn ,EPD,5/3/2021,Positive Mention
Five Below ,FIVE,27/11/2018,Buy
Caterpillar ,CAT,19/10/2018,Negative Mention
1-800-Flowers ,FLWS,8/9/2020,Negative Mention
Exxon Mobil ,XOM,10/2/2020,Sell
Citigroup ,C,7/1/2022,Buy
Microsoft ,MSFT,10/2/2020,Buy
Radian Group ,RDN,31/7/2017,Sell
Burlington Stores ,BURL,31/10/2017,Buy
Tandem Diabetes Care ,TNDM,19/3/2020,Positive Mention
Mattel ,MAT,4/12/2019,Buy
Six Flags ,SIX,22/2/2017,Buy
CVS Health ,CVS,7/8/2019,Buy
Okta ,OKTA,20/8/2019,Positive Mention
Walt Disney ,DIS,1/11/2019,Buy
Paychex ,PAYX,20/12/2018,Buy
Macy's ,M,4/11/2016,Negative Mention
Shutterstock ,SSTK,11/12/2018,Buy
Opko Health ,OPK,31/5/2018,Buy
Okta ,OKTA,16/12/2020,Buy
Crown Castle ,CCI,15/1/2021,Buy
Salesforce ,CRM,8/10/2020,Buy
Delta Air Lines ,DAL,15/12/2016,Positive Mention
Medtronic ,MDT,15/2/2019,Buy
Energy Recovery ,ERII,16/9/2016,Negative Mention
Nikola ,NKLA,25/9/2020,Sell
IAC Interactive ,IAC,20/8/2019,Buy
Chewy ,CHWY,7/1/2020,Buy
HealthEquity ,HQY,29/3/2019,Negative Mention
Wendy's ,WEN,5/8/2020,Buy
Marriott International ,MAR,22/12/2021,Buy
Deutsche Bank ,DB,25/2/2019,Sell
AbbVie ,ABBV,11/12/2020,Buy
Stanley Black & Decker ,SWK,21/4/2017,Buy
Pepsico ,PEP,11/6/2020,Buy
Southwest Airlines ,LUV,21/4/2017,Buy
United Rentals ,URI,19/10/2018,Negative Mention
Etsy ,ETSY,28/2/2019,Buy
Under Armour ,UA,20/8/2020,Negative Mention
Dynavax Technologies ,DVAX,16/7/2018,Buy
Coinbase Global ,COIN,7/5/2021,Negative Mention
Estee Lauder ,EL,20/8/2019,Buy
PG&E ,PCG,23/11/2020,Negative Mention
AT&T ,T,24/7/2019,Buy
SoFi Technologies ,SOFI,7/12/2021,Buy
Traeger ,COOK,27/1/2022,Buy
Fisker ,FSR,1/3/2021,Buy
Snowflake ,SNOW,11/8/2021,Buy
Ford Motor ,F,9/12/2021,Buy
Lennar ,LEN,1/2/2021,Buy
XPO Logistics ,XPO,30/1/2018,Buy
ZAGG ,ZAGG,18/9/2017,Buy
Smith & Wesson ,SWHC,22/6/2016,Buy
Avantor ,AVTR,13/6/2019,Buy
Raytheon Technologies ,RTX,27/7/2021,Buy
Goldman Sachs ,GS,8/3/2019,Positive Mention
Eli Lilly ,LLY,22/1/2021,Buy
Micron Technology ,MU,25/1/2017,Buy
Under Armour ,UAA,9/2/2018,Positive Mention
American Express ,AXP,13/1/2017,Buy
Wells Fargo ,WFC,15/4/2021,Positive Mention
Walmart ,WMT,12/2/2021,Buy
1-800-Flowers ,FLWS,4/2/2020,Positive Mention
Apple ,AAPL,7/10/2020,Buy
JD.com ,JD,25/5/2021,Positive Mention
Carmax ,KMX,18/6/2021,Positive Mention
PPG Industries ,PPG,21/3/2022,Buy
Westlake Chemical ,WLK,7/6/2016,Sell
Morgan Stanley ,MS,20/4/2022,Buy
Baxter International ,BAX,1/11/2018,Negative Mention
UnitedHealth Group ,UNH,18/4/2019,Buy
Match Group ,MTCH,1/11/2018,Buy
JPMorgan Chase ,JPM,26/1/2022,Negative Mention
Kraft Heinz ,KHC,14/2/2019,Negative Mention
Mondelez International ,MDLZ,31/10/2017,Positive Mention
Applied Materials ,AMAT,12/5/2017,Buy
CONSOL Energy ,CNX,29/9/2016,Sell
3M ,MMM,9/2/2018,Buy
Salesforce ,CRM,4/1/2018,Positive Mention
JPMorgan Chase ,JPM,17/10/2016,Negative Mention
Republic Services ,RSG,24/4/2020,Negative Mention
Union Pacific ,UNP,25/1/2022,Buy
Box ,BOX,17/9/2020,Buy
Romeo Power ,RMO,14/4/2021,Sell
BlackRock ,BLK,6/11/2018,Buy
EVgo ,EVGO,31/3/2022,Sell
Radius Health ,RDUS,13/10/2016,Buy
FedEx ,FDX,12/6/2019,Buy
CrowdStrike ,CRWD,19/6/2019,Negative Mention
Ciena ,CIEN,21/9/2020,Sell
Intel ,INTC,26/3/2018,Positive Mention
Apple ,AAPL,28/4/2017,Buy
Pfizer ,PFE,30/4/2021,Positive Mention
Baidu.com ,BIDU,28/2/2019,Buy
Popeyes Louisiana Kitchen ,PLKI,11/11/2016,Buy
New Mountain Finance ,NMFC,21/4/2020,Sell
Nucor ,NUE,2/4/2019,Buy
Delta Air Lines ,DAL,11/1/2018,Buy
The Blackstone Group ,BX,13/7/2016,Positive Mention
Edwards Lifesciences ,EW,26/10/2016,Negative Mention
Tesla ,TSLA,8/1/2020,Buy
Micron Technology ,MU,25/9/2020,Negative Mention
Occidental Petroleum ,OXY,28/2/2017,Sell
Alkermes ,ALKS,21/10/2016,Buy
Dropbox ,DBX,1/8/2018,Buy
Waste Management ,WM,27/5/2020,Buy
Medtronic ,MDT,7/1/2019,Buy
Tandem Diabetes Care ,TNDM,10/4/2019,Buy
Ford Motor ,F,20/7/2021,Buy
FibroGen ,FGEN,20/10/2017,Negative Mention
Bath & Body Works ,BBWI,23/8/2021,Buy
Symantec ,SYMC,12/9/2016,Buy
Roku ,ROKU,9/10/2020,Buy
HCA Healthcare ,HCA,6/11/2018,Positive Mention
Incyte ,INCY,12/4/2017,Buy
Okta ,OKTA,3/2/2020,Buy
Twitter ,TWTR,29/10/2019,Buy
Dicks Sporting Goods ,DKS,26/11/2019,Positive Mention
AbbVie ,ABBV,8/2/2018,Buy
Paychex ,PAYX,13/10/2021,Buy
Bluebird Bio ,BLUE,24/9/2018,Buy
Dexcom ,DXCM,19/3/2020,Buy
Wells Fargo ,WFC,20/7/2021,Buy
Nike ,NKE,12/11/2020,Buy
UnitedHealth Group ,UNH,15/4/2021,Buy
Netflix ,NFLX,13/1/2017,Negative Mention
Idexx Laboratories ,IDXX,11/11/2020,Buy
Newmark Group ,NMRK,11/1/2018,Positive Mention
Lululemon Athletica ,LULU,23/4/2020,Buy
Cloudera ,CLDR,8/1/2020,Positive Mention
United Technologies ,UTX,18/10/2019,Buy
Schlumberger ,SLB,23/10/2017,Buy
Carnival ,CCL,28/2/2017,Buy
Incyte ,INCY,11/7/2017,Buy
Union Pacific ,UNP,26/1/2022,Buy
Campbell Soup ,CPB,29/5/2020,Positive Mention
Walgreens Boots Alliance ,WBA,5/2/2020,Sell
United Rentals ,URI,13/4/2018,Buy
Verizon ,VZ,16/3/2020,Buy
Olin ,OLN,30/11/2016,Buy
Materion ,MTRN,24/4/2017,Positive Mention
Tellurian ,TELL,31/10/2018,Positive Mention
Dollar General ,DG,26/5/2016,Buy
VMware ,VMW,28/9/2018,Buy
Marathon Petroleum ,MPC,30/11/2016,Buy
Thermo Fisher Scientific ,TMO,25/9/2020,Buy
Wells Fargo ,WFC,20/4/2016,Buy
Applied Materials ,AMAT,28/3/2018,Buy
NortonLifeLock ,NLOK,12/5/2021,Buy
United Rentals ,URI,19/4/2018,Buy
Microsoft ,MSFT,9/9/2020,Buy
Cisco Systems ,CSCO,5/2/2021,Buy
Roku ,ROKU,30/4/2021,Positive Mention
Gogo ,GOGO,11/11/2021,Buy
Boston Beer ,SAM,17/7/2020,Buy
Delta Air Lines ,DAL,21/3/2022,Buy
Advanced Micro Devices ,AMD,5/11/2021,Buy
Five Below ,FIVE,13/4/2017,Buy
Caterpillar ,CAT,28/1/2019,Positive Mention
Coca-Cola ,KO,9/2/2018,Buy
Morgan Stanley ,MS,22/11/2021,Buy
SiteOne Landscape Supply ,SITE,16/4/2018,Negative Mention
Morgan Stanley ,MS,20/7/2021,Buy
Edwards Lifesciences ,EW,12/6/2018,Buy
Boeing ,BA,4/1/2021,Buy
CrowdStrike ,CRWD,2/11/2020,Buy
Barrick Gold ,GOLD,30/1/2019,Buy
Nabors Industries ,NBR,15/5/2017,Sell
Canada Goose ,GOOS,12/12/2019,Negative Mention
Boeing ,BA,12/2/2021,Buy
Yext ,YEXT,12/5/2020,Buy
Nutrien ,NTR,22/3/2022,Sell
Dropbox ,DBX,13/8/2018,Buy
Microsoft ,MSFT,19/8/2021,Buy
Zendesk ,ZEN,16/9/2019,Buy
Skyworks Solutions ,SWKS,2/6/2020,Buy
American Airlines ,AAL,6/2/2017,Buy
Five9 ,FIVN,22/11/2019,Buy
Magellan Midstream Partne ,MMP,21/12/2016,Buy
AGCO ,AGCO,12/10/2020,Buy
Desktop Metal ,DM,16/12/2020,Negative Mention
Adobe Systems ,ADBE,22/9/2021,Buy
Dollar Tree ,DLTR,10/9/2019,Buy
NVIDIA ,NVDA,2/10/2018,Negative Mention
Tellurian ,TELL,9/3/2018,Buy
Proofpoint ,PFPT,25/4/2018,Buy
Tandem Diabetes Care ,TNDM,5/5/2020,Positive Mention
OneMain 0ings ,OMF,27/10/2021,Negative Mention
Diageo ,DEO,1/2/2019,Buy
Rayonier Advanced Materia ,RYAM,7/10/2016,Buy
Norfolk Southern ,NSC,21/10/2016,Negative Mention
UnitedHealth Group ,UNH,4/11/2020,Buy
Skyworks Solutions ,SWKS,16/12/2020,Buy
Snap ,SNAP,9/4/2018,Sell
Tesla ,TSLA,7/1/2020,Buy
Enphase Energy ,ENPH,1/3/2019,Positive Mention
Camping World ,CWH,1/2/2022,Buy
Texas Instruments ,TXN,18/10/2019,Negative Mention
NovoCure ,NVCR,26/8/2019,Positive Mention
Cisco Systems ,CSCO,20/12/2018,Buy
Apple ,AAPL,8/4/2020,Buy
Tesla ,TSLA,8/10/2020,Buy
Madrigal Pharmaceuticals ,MDGL,11/12/2017,Positive Mention
Dominion Energy ,D,14/7/2020,Buy
Etsy ,ETSY,9/5/2019,Buy
Tesla ,TSLA,22/1/2021,Buy
NVIDIA ,NVDA,30/10/2020,Buy
Roku ,ROKU,8/10/2020,Buy
Estee Lauder ,EL,2/11/2020,Positive Mention
Abiomed ,ABMD,18/10/2019,Sell
Poshmark ,POSH,11/8/2021,Negative Mention
Nio ,NIO,4/6/2019,Sell
Applied Materials ,AMAT,11/10/2021,Buy
Five Below ,FIVE,5/12/2019,Buy
Adobe Systems ,ADBE,1/11/2019,Buy
Salesforce ,CRM,11/7/2017,Positive Mention
Lowe's ,LOW,20/11/2019,Positive Mention
3D Systems ,DDD,20/11/2018,Negative Mention
Visa ,V,2/5/2022,Buy
Snap ,SNAP,20/5/2019,Negative Mention
Honeywell ,HON,11/7/2018,Negative Mention
Xerox ,XRX,6/11/2019,Buy
PBF Energy ,PBF,4/12/2017,Negative Mention
Papa Johns Pizza ,PZZA,9/5/2022,Buy
Gogo ,GOGO,27/7/2021,Sell
Caterpillar ,CAT,8/4/2020,Buy
American Airlines ,AAL,12/7/2016,Positive Mention
ServiceNow ,NOW,26/4/2018,Buy
Johnson & Johnson ,JNJ,25/3/2020,Buy
Splunk ,SPLK,28/3/2018,Buy
Lam Research ,LRCX,11/10/2021,Buy
Align Technology ,ALGN,24/2/2021,Buy
Ralph Lauren ,RL,4/2/2020,Buy
Steel Dynamics ,STLD,11/4/2018,Buy
Accolade ,ACCD,18/10/2021,Sell
CVS Health ,CVS,15/2/2019,Buy
Cree ,CREE,8/12/2017,Buy
Centene ,CNC,7/6/2019,Buy
Etsy ,ETSY,25/6/2020,Buy
Advanced Micro Devices ,AMD,28/4/2017,Negative Mention
AGCO ,AGCO,5/1/2022,Buy
Freeport-McMoRan ,FCX,14/4/2022,Positive Mention
TherapeuticsMD ,TXMD,7/9/2018,Positive Mention
Block ,SQ,27/4/2020,Buy
Qorvo ,QRVO,2/6/2020,Buy
Corteva Agriscienses ,CTVA,26/5/2020,Buy
Bank of America ,BAC,7/12/2016,Buy
Apple ,AAPL,5/5/2020,Buy
Freeport-McMoRan ,FCX,6/5/2021,Buy
JB Hunt Transport Service ,JBHT,13/10/2021,Negative Mention
YY ,YY,14/3/2019,Sell
Enterprise Products Partn ,EPD,22/6/2016,Positive Mention
Exact Sciences ,EXAS,7/3/2017,Negative Mention
Best +2 ,BBY,27/2/2019,Positive Mention
Advanced Micro Devices ,AMD,25/10/2017,Negative Mention
Barrick Gold ,GOLD,12/11/2019,Buy
Skyworks Solutions ,SWKS,12/7/2016,Negative Mention
Gilead Sciences ,GILD,8/10/2019,Negative Mention
Hannon Armstrong ,HASI,28/2/2020,Buy
Okta ,OKTA,4/4/2019,Buy
Adobe Systems ,ADBE,4/1/2018,Positive Mention
Caterpillar ,CAT,1/4/2021,Buy
Visa ,V,14/2/2019,Buy
Etsy ,ETSY,7/4/2021,Buy
Tesla ,TSLA,28/10/2020,Buy
Etsy ,ETSY,19/3/2018,Buy
Workday ,WDAY,28/2/2019,Buy
Ulta Beauty ,ULTA,28/6/2016,Buy
Sallie Mae ,SLM,23/5/2016,Negative Mention
Inovio Pharmaceuticals ,INO,24/1/2017,Sell
Winnebago Industries ,WGO,17/12/2018,Sell
Lam Research ,LRCX,17/11/2020,Buy
Mohawk Group ,MWK,23/4/2021,Sell
Diamond Eagle Acquisition ,DEAC,20/4/2020,Sell
Illumina ,ILMN,22/7/2020,Buy
Nike ,NKE,4/8/2016,Buy
Netflix ,NFLX,19/7/2016,Sell
Netflix ,NFLX,21/4/2021,Buy
K12 ,LRN,18/3/2020,Sell
Universal Display ,OLED,9/5/2017,Buy
PayPal ,PYPL,5/11/2021,Negative Mention
Cerence ,CRNC,19/5/2021,Sell
Walt Disney ,DIS,4/2/2022,Positive Mention
Deluxe ,DLX,24/1/2017,Buy
Domino's Pizza ,DPZ,28/2/2017,Buy
Accenture ,ACN,18/6/2021,Buy
Applied Materials ,AMAT,3/1/2018,Buy
Cara Therapeutics ,CARA,24/4/2017,Buy
New Relic ,NEWR,22/6/2016,Buy
Goldman Sachs ,GS,10/1/2020,Positive Mention
Morgan Stanley ,MS,18/10/2019,Positive Mention
Lemonade ,LMND,26/2/2021,Buy
Morgan Stanley ,MS,12/1/2018,Buy
Spotify ,SPOT,30/10/2019,Buy
Bank of America ,BAC,16/6/2021,Buy
Sanofi ,SNY,5/2/2021,Buy
Pfizer ,PFE,14/12/2017,Buy
HP ,HPQ,29/1/2019,Buy
RADA Electronic Industrie ,RADA,14/5/2021,Negative Mention
The Trade Desk ,TTD,10/6/2021,Buy
Doximity ,DOCS,16/11/2021,Buy
Digital Realty Trust ,DLR,16/5/2022,Buy
eBay ,EBAY,2/5/2019,Buy
Lithia Motors ,LAD,21/10/2020,Buy
Ulta Beauty ,ULTA,12/10/2017,Negative Mention
Macy's ,M,22/9/2020,Buy
Eli Lilly ,LLY,22/12/2021,Buy
3M ,MMM,21/6/2018,Buy
Seattle Genetics ,SGEN,18/5/2020,Buy
PVH Corp ,PVH,19/5/2017,Buy
Nike ,NKE,21/12/2016,Negative Mention
AT&T ,T,24/10/2018,Negative Mention
Domino's Pizza ,DPZ,2/11/2020,Positive Mention
McCormick ,MKC,18/6/2020,Buy
Glu Mobile ,GLUU,26/8/2019,Sell
Walt Disney ,DIS,22/2/2021,Buy
Deere & Company ,DE,1/6/2017,Buy
Kratos Defense & Security ,KTOS,22/9/2020,Buy
Whole Foods Markets ,WFM,11/4/2017,Sell
Raytheon ,RTN,9/8/2017,Buy
Dexcom ,DXCM,1/11/2019,Buy
Stem ,STEM,23/6/2021,Buy
Qorvo ,QRVO,2/6/2016,Negative Mention
Home Depot ,HD,16/12/2020,Buy
Lam Research ,LRCX,20/11/2017,Buy
Nevsun Resources ,NSU,29/11/2016,Positive Mention
Alder BioPharmaceuticals ,ALDR,18/9/2017,Buy
United Continental ,UAL,20/10/2016,Positive Mention
Mastercard ,MA,10/9/2019,Buy
NXP Semiconductors ,NXPI,30/9/2016,Buy
Adobe Systems ,ADBE,18/10/2018,Buy
Apple ,AAPL,28/11/2018,Positive Mention
Apple ,AAPL,27/9/2019,Negative Mention
Arista Networks ,ANET,26/2/2021,Buy
Caterpillar ,CAT,27/1/2020,Negative Mention
Costco ,COST,21/5/2021,Buy
Ncino ,NCNO,10/9/2020,Buy
Occidental Petroleum ,OXY,1/9/2016,Buy
Dow ,DOW,2/5/2019,Positive Mention
Caterpillar ,CAT,18/10/2019,Positive Mention
DraftKings ,DKNG,11/4/2022,Positive Mention
Micron Technology ,MU,25/5/2016,Buy
Emerson Electric ,EMR,1/11/2019,Positive Mention
Veeva Systems ,VEEV,28/4/2020,Buy
Accenture ,ACN,2/7/2020,Buy
Teva Pharmaceuticals ,TEVA,23/5/2018,Negative Mention
Centene ,CNC,8/9/2020,Negative Mention
Alibaba ,BABA,14/1/2019,Negative Mention
Boeing ,BA,4/2/2019,Buy
Mitek Systems ,MITK,11/5/2016,Buy
Apple ,AAPL,18/10/2018,Buy
Bristol-Myers Squibb ,BMY,8/4/2020,Buy
Acacia Communications ,ACIA,19/4/2018,Negative Mention
Select Medical 0ings ,SEM,20/8/2019,Buy
Wingstop ,WING,3/2/2020,Buy
Blue Apron ,APRN,22/1/2018,Sell
The Blackstone Group ,BX,5/8/2019,Buy
Gap ,GPS,19/6/2019,Negative Mention
Caterpillar ,CAT,15/9/2020,Buy
Brunswick ,BC,30/10/2020,Buy
McAfee ,MCFE,17/11/2020,Sell
Kinder Morgan ,KMI,27/4/2021,Buy
Nordstrom ,JWN,17/2/2017,Negative Mention
Plug Power ,PLUG,11/10/2021,Buy
Diamondback Energy ,FANG,25/7/2017,Buy
Apple ,AAPL,4/2/2019,Buy
3M ,MMM,10/11/2020,Buy
Xilinx ,XLNX,15/10/2018,Buy
Nordstrom ,JWN,22/8/2016,Positive Mention
Bank of America ,BAC,13/4/2018,Buy
Himax Technologies ,HIMX,12/10/2017,Negative Mention
Agenus ,AGEN,23/10/2017,Buy
ZScaler ,ZS,16/7/2020,Buy
Buckle ,BKE,15/9/2020,Sell
Gilead Sciences ,GILD,1/11/2018,Negative Mention
Wells Fargo ,WFC,13/10/2016,Positive Mention
PayPal ,PYPL,7/6/2019,Buy
Under Armour ,UAA,7/2/2020,Negative Mention
NVIDIA ,NVDA,16/12/2020,Buy
Enphase Energy ,ENPH,4/10/2019,Buy
Yelp ,YELP,25/3/2021,Buy
Southwestern Energy ,SWN,28/11/2017,Sell
Avaya ,AVYA,18/5/2020,Buy
Darden Restaurants ,DRI,19/3/2021,Buy
Vertex Pharmaceuticals ,VRTX,8/4/2020,Buy
Rockwell Automation ,ROK,28/7/2021,Buy
Enterprise Products Partn ,EPD,5/5/2016,Negative Mention
Palo Alto Networks ,PANW,12/11/2021,Buy
Allstate ,ALL,2/11/2016,Positive Mention
Clorox ,CLX,11/10/2018,Negative Mention
Honeywell ,HON,24/1/2019,Buy
Western Digital ,WDC,10/12/2019,Positive Mention
Ally Financial ,ALLY,24/10/2017,Negative Mention
Caterpillar ,CAT,18/4/2016,Positive Mention
NVIDIA ,NVDA,24/1/2018,Buy
Ventas ,VTR,12/3/2018,Buy
Sea Limited ,SE,4/11/2021,Buy
Align Technology ,ALGN,12/4/2018,Buy
Hanesbrands ,HBI,7/2/2017,Negative Mention
VMware ,VMW,11/9/2019,Buy
Adobe Systems ,ADBE,12/3/2018,Buy
Procter & Gamble ,PG,15/4/2020,Buy
Constellation Brands ,STZ,4/10/2018,Buy
Wynn Resorts ,WYNN,21/4/2017,Buy
Chegg ,CHGG,12/6/2020,Buy
Ballard Power Systems ,BLDP,9/1/2020,Sell
Ulta Beauty ,ULTA,22/9/2021,Buy
Netflix ,NFLX,31/10/2018,Buy
ServiceNow ,NOW,10/2/2020,Buy
Tiffany & Co ,TIF,17/3/2017,Buy
Cara Therapeutics ,CARA,17/12/2018,Buy
Simon Property Group ,SPG,2/3/2022,Buy
Carmax ,KMX,5/10/2020,Positive Mention
NVIDIA ,NVDA,12/3/2019,Buy
Apple ,AAPL,24/2/2020,Positive Mention
Ingersoll-Rand ,IR,19/10/2020,Buy
Advanced Micro Devices ,AMD,11/1/2022,Buy
Veeva Systems ,VEEV,22/8/2019,Buy
ServiceNow ,NOW,18/10/2021,Buy
Joby Aviation ,JOBY,1/4/2022,Sell
Block ,SQ,22/9/2021,Positive Mention
GoPro ,GPRO,14/6/2016,Sell
Deutsche Bank ,DB,17/7/2018,Negative Mention
ConAgra Foods ,CAG,18/12/2017,Buy
GlaxoSmithKline ,GSK,6/4/2018,Buy
United Continental ,UAL,2/11/2016,Negative Mention
Costco ,COST,5/10/2020,Buy
Tesla ,TSLA,14/6/2016,Positive Mention
Apache ,APA,29/9/2016,Buy
Thor Industries ,THO,8/6/2021,Buy
Clean Harbors ,CLH,27/2/2019,Buy
FedEx ,FDX,18/6/2021,Positive Mention
Southwest Airlines ,LUV,8/3/2018,Buy
Newell Brands ,NWL,8/5/2017,Buy
Camping World ,CWH,20/7/2021,Buy
Qualcomm ,QCOM,30/10/2020,Positive Mention
Kraft Heinz ,KHC,24/4/2020,Positive Mention
Dole Foods ,DOLE,27/1/2022,Buy
Restaurant Brands ,QSR,26/8/2019,Positive Mention
Foot Locker ,FL,24/5/2017,Buy
PPG Industries ,PPG,3/12/2019,Buy
Thor Industries ,THO,21/5/2021,Buy
The Trade Desk ,TTD,16/1/2020,Buy
Penn National Gaming ,PENN,2/3/2020,Negative Mention
Splunk ,SPLK,18/1/2017,Buy
Delta Air Lines ,DAL,15/6/2016,Sell
Brookfield Renewable Part ,BEP,13/5/2021,Positive Mention
Lennar ,LEN,8/1/2020,Buy
Pioneer Natural Resources ,PXD,27/4/2021,Buy
Grubhub ,GRUB,15/8/2017,Buy
Nike ,NKE,13/11/2020,Buy
Lockheed Martin ,LMT,11/7/2018,Positive Mention
Qualys ,QLYS,20/4/2018,Positive Mention
New York Times ,NYT,6/5/2020,Positive Mention
Verizon ,VZ,11/10/2018,Buy
HP ,HPQ,13/4/2018,Buy
Constellation Brands ,STZ,17/4/2019,Positive Mention
General Motors ,GM,21/4/2017,Negative Mention
L3Harris Technologies ,LHX,3/11/2020,Buy
International Paper ,IP,15/8/2017,Buy
Lululemon Athletica ,LULU,9/9/2020,Buy
Carrizo Oil & Gas ,CRZO,19/6/2018,Buy
Medtronic ,MDT,20/7/2021,Buy
JFrog ,FROG,11/10/2021,Sell
Boeing ,BA,28/7/2021,Buy
Uber ,UBER,10/7/2019,Negative Mention
Veritiv ,VRTV,20/10/2021,Positive Mention
Generac 0ings ,GNRC,10/2/2020,Buy
ON Semiconductor ,ON,5/8/2021,Buy
B&G Foods ,BGS,3/6/2020,Buy
Take-Two Interactive ,TTWO,1/2/2019,Buy
ASML 0ings ,ASML,18/1/2018,Buy
Abbott Laboratories ,ABT,29/11/2018,Buy
Advanced Micro Devices ,AMD,24/7/2017,Positive Mention
Pfizer ,PFE,29/10/2021,Negative Mention
Carvana ,CVNA,10/11/2020,Buy
Lockheed Martin ,LMT,9/2/2018,Buy
BP ,BP,20/4/2016,Sell
Caterpillar ,CAT,20/4/2018,Positive Mention
Academy Sports and Outdoo ,ASO,1/3/2022,Buy
Weyerhaeuser ,WY,30/8/2017,Buy
Brunswick ,BC,29/10/2021,Buy
Chevron ,CVX,27/9/2021,Buy
Darden Restaurants ,DRI,23/6/2017,Buy
Adobe Systems ,ADBE,29/5/2018,Buy
Skyworks Solutions ,SWKS,23/7/2018,Negative Mention
Exxon Mobil ,XOM,18/4/2019,Buy
VMware ,VMW,11/12/2018,Buy
Stitch Fix ,SFIX,8/3/2018,Sell
NVIDIA ,NVDA,16/4/2018,Buy
HP ,HPQ,23/7/2018,Buy
Beyond Meat ,BYND,10/7/2019,Negative Mention
U.S. Auto Parts Network ,PRTS,18/6/2020,Negative Mention
Schlumberger ,SLB,9/4/2020,Sell
Intuit ,INTU,6/7/2021,Buy
Cleveland-Cliffs ,CLF,3/2/2017,Sell
Amicus Therapeutics ,FOLD,28/9/2018,Negative Mention
First Data ,FDC,7/12/2017,Negative Mention
AMN Healthcare ,AHS,6/10/2016,Buy
AbbVie ,ABBV,21/4/2017,Buy
Morgan Stanley ,MS,19/1/2022,Buy
Align Technology ,ALGN,24/6/2021,Buy
Marriott International ,MAR,21/10/2016,Positive Mention
Penn National Gaming ,PENN,3/1/2022,Negative Mention
Cintas ,CTAS,31/3/2021,Buy
Altria ,MO,11/12/2018,Negative Mention
Lowe's ,LOW,11/11/2021,Negative Mention
CBRL Group ,CBRL,22/11/2016,Positive Mention
Prospect Capital ,PSEC,23/3/2018,Sell
Banco Santander ,SAN,5/6/2018,Sell
Origin Materials ,ORGN,1/3/2022,Negative Mention
AbbVie ,ABBV,22/3/2018,Negative Mention
Twitter ,TWTR,11/3/2019,Buy
Lattice Semiconductor ,LSCC,16/12/2019,Buy
Atara Biotherapeutics ,ATRA,9/3/2018,Positive Mention
Hannon Armstrong ,HASI,23/5/2016,Positive Mention
Big Lots ,BIG,15/4/2021,Buy
The Carlyle Group ,CG,19/3/2018,Buy
FedEx ,FDX,15/1/2020,Positive Mention
Uber ,UBER,21/1/2020,Positive Mention
GoodRX ,GDRX,18/10/2021,Buy
AstraZeneca ,AZN,5/11/2021,Buy
Marathon Petroleum ,MPC,24/1/2019,Buy
Camping World ,CWH,24/5/2018,Negative Mention
Covetrus ,CVET,18/1/2022,Buy
Royal Caribbean Cruises ,RCL,14/8/2017,Buy
United Technologies ,UTX,11/6/2019,Negative Mention
Apple ,AAPL,11/10/2016,Buy
Pioneer Natural Resources ,PXD,21/5/2021,Buy
Chevron ,CVX,10/2/2020,Sell
Pinterest ,PINS,18/4/2019,Sell
PVH Corp ,PVH,22/11/2019,Buy
Chicago Bridge & Iron ,CBI,29/9/2016,Negative Mention
Broadcom ,AVGO,27/2/2018,Positive Mention
Paychex ,PAYX,1/4/2021,Positive Mention
Constellation Brands ,STZ,29/3/2019,Positive Mention
Morgan Stanley ,MS,9/10/2020,Buy
Trex ,TREX,30/7/2019,Buy
PAR Technologies ,PAR,14/4/2021,Buy
American Airlines ,AAL,16/9/2019,Negative Mention
GOL Intelligent Air ,GOL,3/11/2017,Negative Mention
Molson Coors ,TAP,12/5/2022,Buy
Entergy ,ETR,5/1/2021,Buy
Teva Pharmaceuticals ,TEVA,21/4/2017,Sell
Tattooed Chef ,TTCF,22/4/2021,Buy
Lam Research ,LRCX,18/12/2019,Buy
Goodyear Tire & Rubber ,GT,22/12/2020,Sell
Farfetch ,FTCH,6/11/2019,Sell
Crown Castle ,CCI,7/1/2021,Buy
Activision Blizzard ,ATVI,8/2/2019,Positive Mention
Caterpillar ,CAT,7/6/2016,Positive Mention
Deere & Company ,DE,11/9/2020,Buy
Freeport-McMoRan ,FCX,20/9/2021,Negative Mention
Intel ,INTC,22/6/2016,Negative Mention
Best +2 ,BBY,20/11/2020,Buy
Fortinet ,FTNT,13/10/2016,Negative Mention
Vertex Pharmaceuticals ,VRTX,20/2/2020,Buy
Walt Disney ,DIS,22/6/2020,Buy
NVIDIA ,NVDA,11/1/2022,Buy
Bristol-Myers Squibb ,BMY,27/6/2016,Buy
Block ,SQ,19/7/2018,Buy
Salesforce ,CRM,4/3/2019,Buy
Equifax ,EFX,26/9/2017,Negative Mention
Box ,BOX,31/5/2018,Buy
Kontoor Brands ,KTB,2/3/2022,Buy
Broadcom ,AVGO,7/1/2019,Buy
Dell ,DELL,26/1/2022,Buy
Gap ,GPS,11/11/2016,Hold
ServiceNow ,NOW,12/3/2018,Buy
Broadcom ,AVGO,7/9/2018,Buy
Planet Fitness ,PLNT,22/7/2021,Buy
JPMorgan Chase ,JPM,16/10/2019,Buy
