Company,Ticker,Date,Call
Pinterest ,PINS,17/6/2019,Positive Mention
Chevron ,CVX,9/3/2020,Sell
Livongo Health ,LVGO,14/7/2020,Buy
Innovative Industrial Pro ,IIPR,4/11/2020,Buy
Coinbase Global ,COIN,13/5/2021,Buy
Martin Marietta Materials ,MLM,8/11/2016,Buy
Starbucks ,SBUX,1/11/2018,Positive Mention
Beyond Meat ,BYND,2/3/2020,Buy
Livongo Health ,LVGO,3/3/2020,Buy
Baker Hughes ,BHI,27/10/2016,Buy
Reynolds Consumer Product ,REYN,30/4/2020,Buy
Kohl's ,KSS,15/5/2020,Sell
Workday ,WDAY,27/5/2020,Buy
Surface Oncology ,SURF,15/1/2021,Buy
eXp World ,EXPI,5/2/2021,Negative Mention
Cisco Systems ,CSCO,15/11/2017,Buy
Union Pacific ,UNP,17/7/2019,Negative Mention
Impinj ,PI,12/11/2018,Negative Mention
Wynn Resorts ,WYNN,8/3/2018,Buy
Brinker International ,EAT,8/4/2020,Negative Mention
Salesforce ,CRM,18/5/2016,Buy
Palo Alto Networks ,PANW,20/5/2021,Buy
Luminar Technologies ,LAZR,18/12/2020,Buy
United Parcel Service ,UPS,12/3/2020,Buy
Scorpio Tankers ,STNG,5/5/2020,Sell
Golden Ocean Group ,GOGL,13/7/2021,Negative Mention
Tellurian ,TELL,23/3/2021,Buy
Adobe Systems ,ADBE,11/6/2020,Buy
CyberArk Software ,CYBR,13/5/2019,Buy
Qualtrics ,XM,26/1/2022,Buy
TJX Companies ,TJX,15/5/2020,Positive Mention
Norwegian Cruise Line ,NCLH,23/11/2020,Buy
Apple ,AAPL,29/1/2019,Buy
Alteryx ,AYX,5/12/2017,Buy
Revolve Group ,RVLV,26/1/2022,Buy
InMode ,INMD,28/9/2021,Buy
ContextLogic ,WISH,26/4/2021,Buy
Bloom Energy ,BE,4/11/2020,Sell
PVH Corp ,PVH,28/3/2018,Buy
Penn National Gaming ,PENN,5/1/2021,Negative Mention
Nike ,NKE,18/12/2020,Buy
Livongo Health ,LVGO,5/8/2020,Buy
MannKind ,MNKD,25/6/2021,Buy
GrowGeneration ,GRWG,4/11/2020,Buy
CRISPR Therapeutics ,CRSP,12/2/2020,Positive Mention
Vaxart ,VXRT,5/2/2021,Sell
XPO Logistics ,XPO,2/12/2020,Buy
Upstart ,UPST,12/8/2021,Buy
PVH Corp ,PVH,24/5/2017,Buy
Foot Locker ,FL,15/5/2020,Sell
Intuit ,INTU,16/11/2018,Positive Mention
AppLovin ,APP,23/6/2021,Buy
Gap ,GPS,29/5/2020,Sell
United Continental ,UAL,16/10/2018,Buy
Nokia ,NOK,3/4/2020,Sell
Snap ,SNAP,19/3/2020,Buy
Enphase Energy ,ENPH,6/12/2021,Buy
Zoom Video Communications ,ZM,8/9/2020,Positive Mention
